video,board,board_source,plan,board_changed,plan_changed,video_changed,best_seconds,best_mad,whole_seconds,highlight_seconds,whole_render_mad,highlight_render_mad,findings
videos/training-bias.mp4,illustrations/training-bias-mechanisms.jpg,index+plan,scripts/video/paths/training-bias-mechanisms-highlights.json,2026-08-24 15:56,2026-08-24 15:56,2026-08-24 15:56,84.0,2.2738425925925925,84.93333333333334,87.36666666666666,2.2051215277777776,2.299548611111111,COURSE_NATIVE_HIGHLIGHT_PLAN
videos/training-bias.mp4,illustrations/training-bias-questions.jpg,index+plan,scripts/video/paths/training-bias-questions-highlights.json,2026-08-24 15:56,2026-08-24 15:56,2026-08-24 15:56,120.5,6.975300925925926,121.0,123.43333333333334,15.35677662037037,22.434716435185184,PLAN_RENDER_DIFFERS_FROM_VIDEO;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/training.mp4,illustrations/training-loop.jpg,index+plan,scripts/video/paths/training-loop-highlights.json,2026-08-21 22:36,2026-08-21 13:22,2026-08-23 21:05,13.0,2.003935185185185,14.3,16.3,1.9345138888888889,1.9936979166666666,BOARD_NEWER_THAN_PLAN;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/transformer.mp4,illustrations/transformer-1-before.jpg,index+plan,scripts/video/paths/transformer-before-highlights.json,2026-08-21 14:01,2026-08-23 21:05,2026-08-24 15:56,69.9914004914005,6.985069444444444,66.65847665847666,72.65773955773956,23.41349537037037,6.977326388888889,PLAN_RENDER_DIFFERS_FROM_VIDEO;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/transformer.mp4,illustrations/transformer-2-now.jpg,plan-only,scripts/video/paths/vector-space-transformer-now-highlights.json,2026-08-21 14:01,2026-08-22 14:42,2026-08-24 15:56,77.49047911547912,64.59064814814815,132.21708845208846,137.71641277641277,82.58168402777778,72.97117476851852,PLAN_RENDER_DIFFERS_FROM_VIDEO;CURRENT_BOARD_NOT_VISUALLY_FOUND;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/transformer.mp4,illustrations/transformer-attention-transformation-video.png,plan-only,scripts/video/paths/transformer-attention-transformation-highlights.json,2026-08-23 21:05,2026-08-23 21:05,2026-08-24 15:56,135.4833538083538,5.941111111111111,113.6527027027027,119.61863636363637,24.18642939814815,24.72820023148148,PLAN_RENDER_DIFFERS_FROM_VIDEO;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/transformer.mp4,illustrations/transformer-reading-comparison.jpg,index+plan,scripts/video/paths/transformer-reading-comparison-highlights.json,2026-08-23 21:05,2026-08-23 21:05,2026-08-24 15:56,114.98587223587224,8.851157407407408,95.48826781326781,104.65380835380836,32.47902777777778,30.090810185185184,PLAN_RENDER_DIFFERS_FROM_VIDEO;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/transformer.mp4,illustrations/transformer-solutions-video.png,plan-only,scripts/video/paths/transformer-solutions-highlights.json,2026-08-23 21:05,2026-08-23 21:05,2026-08-24 15:56,191.9764127764128,7.3860879629629625,142.31584766584766,146.68197788697788,18.328819444444445,20.09712384259259,PLAN_RENDER_DIFFERS_FROM_VIDEO;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/unexpected-results.mp4,illustrations/unexpected-results-plans-v2.jpg,index,,2026-08-29 16:16,none,2026-08-25 19:04,213.0,38.91997685185185,,,,,MISSING_HIGHLIGHT_PLAN;BOARD_NEWER_THAN_VIDEO;CURRENT_BOARD_NOT_VISUALLY_FOUND
videos/vector-space.mp4,illustrations/vector-space-cities.jpg,index+plan,scripts/video/paths/vector-space-cities-highlights.json,2026-08-21 22:36,2026-08-23 22:04,2026-08-24 15:56,29.0,2.1944444444444446,29.666666666666668,31.766666666666666,2.1695949074074075,2.2944270833333333,COURSE_NATIVE_HIGHLIGHT_PLAN
videos/vector-space.mp4,illustrations/vector-space-taste-profile.jpg,index+plan,scripts/video/paths/vector-space-taste-profile-highlights.json,2026-08-21 22:36,2026-08-24 15:56,2026-08-24 15:56,64.0,1.9785416666666666,64.63333333333334,66.9,1.9290509259259259,2.011741898148148,COURSE_NATIVE_HIGHLIGHT_PLAN
videos/what-is-ai.mp4,illustrations/what-is-ai-llm.jpg,index+plan,scripts/video/paths/what-is-ai-llm-highlights.json,2026-08-21 22:36,2026-08-23 12:57,2026-08-23 12:57,190.5,2.792986111111111,231.2,191.43333333333334,2.1950636574074074,2.253304398148148,COURSE_NATIVE_HIGHLIGHT_PLAN
videos/what-you-can-control.mp4,illustrations/what-you-can-control-hands.jpg,index+plan,scripts/video/paths/what-you-can-control-hands-highlights.json,2026-08-21 22:36,2026-08-23 12:57,2026-08-23 12:57,97.98089668615985,1.5484027777777778,55.98908382066277,58.35528914879792,4.007523148148148,48.75429976851852,PLAN_RENDER_DIFFERS_FROM_VIDEO;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/what-you-can-control.mp4,illustrations/what-you-can-control-three-moves.jpg,index+plan,scripts/video/paths/what-you-can-control-three-moves-highlights.json,2026-08-21 22:36,2026-08-23 12:57,2026-08-23 12:57,155.96959064327487,1.9584722222222222,115.67744639376218,115.67744639376218,23.190480324074073,23.190480324074073,PLAN_RENDER_DIFFERS_FROM_VIDEO;COURSE_NATIVE_HIGHLIGHT_PLAN
videos/where-ai-works-best.mp4,illustrations/where-ai-works-best-1-transform.jpg,plan-only,scripts/video/paths/where-ai-works-best-1-highlights.json,2026-08-20 11:59,2026-08-23 12:57,2026-08-23 14:42,71.0,2.2100925925925927,74.03333333333333,77.9,3.3682349537037037,2.4988483796296297,COURSE_NATIVE_HIGHLIGHT_PLAN
